id;user_id;name;color;percentage;balance;icon;display_order;created_at;updated_at
0bf0dd92-f4ae-40b0-8844-75c0b1e8f1e4;29a25228-d7ec-4bc3-947b-2dcb03c76792;Donations;saffron;10;3500.00;Gift;6;2026-03-12 13:31:17.500767+00;2026-03-12 13:31:45.642024+00
0f2e6fd8-598b-4863-8358-86c164eb2c9e;2bdd3609-5d82-41f2-8435-2e0a7689ca27;Needs;royal-blue;40;32000.00;Home;1;2026-03-12 18:46:53.135296+00;2026-03-12 18:47:30.264268+00
aa9e4555-08d5-4304-b4f9-44c248253828;2bdd3609-5d82-41f2-8435-2e0a7689ca27;Invest;emerald;20;16000.00;TrendingUp;2;2026-03-12 18:46:53.135296+00;2026-03-12 18:47:30.720156+00
21f18bd1-a59e-41c3-8909-10e86bbc217d;2bdd3609-5d82-41f2-8435-2e0a7689ca27;Wants;turmeric;10;8000.00;ShoppingBag;3;2026-03-12 18:46:53.135296+00;2026-03-12 18:47:31.10317+00
4ed4bd13-e48d-4f68-9c2b-f8c1220cd4e5;2bdd3609-5d82-41f2-8435-2e0a7689ca27;Emergency;maroon;10;8000.00;AlertCircle;4;2026-03-12 18:46:53.135296+00;2026-03-12 18:47:31.461041+00
7d1cd891-322d-43aa-90d5-dc64949e67c8;2bdd3609-5d82-41f2-8435-2e0a7689ca27;Parents;coral;10;8000.00;Heart;5;2026-03-12 18:46:53.135296+00;2026-03-12 18:47:31.930642+00
e4dd7b07-b890-437b-b876-fd27d68bad10;2bdd3609-5d82-41f2-8435-2e0a7689ca27;Donations;saffron;10;8000.00;Gift;6;2026-03-12 18:46:53.135296+00;2026-03-12 18:47:32.329891+00
a118f4d3-eca6-4e59-93fd-d1687ec43053;0048bd4c-79cf-4de6-8600-4fc5aae033f0;Needs;royal-blue;40;10000.00;Home;1;2026-03-15 01:49:05.928225+00;2026-03-15 01:49:32.557743+00
cbafe902-b5a7-4d29-ab42-89d78ffeee07;0048bd4c-79cf-4de6-8600-4fc5aae033f0;Invest;emerald;20;5000.00;TrendingUp;2;2026-03-15 01:49:05.928225+00;2026-03-15 01:49:33.165925+00
0d1630a5-147e-4da4-9a54-72aae7350fd6;c0f4e6c9-4835-42dc-8800-793887a675c0;Invest;emerald;20;0.00;TrendingUp;2;2026-03-15 10:18:33.732381+00;2026-03-15 10:18:33.732381+00
c2b48339-479b-44fd-b29b-d04f45a2b13d;0048bd4c-79cf-4de6-8600-4fc5aae033f0;Emergency;maroon;10;2500.00;AlertCircle;4;2026-03-15 01:49:05.928225+00;2026-03-15 01:49:34.007861+00
1788856c-e703-46b6-b2e2-d40afe51e614;c0f4e6c9-4835-42dc-8800-793887a675c0;Wants;turmeric;10;0.00;ShoppingBag;3;2026-03-15 10:18:33.732381+00;2026-03-15 10:18:33.732381+00
03e8b094-0f81-4c5b-9a69-46118ddd2058;0048bd4c-79cf-4de6-8600-4fc5aae033f0;Donations;saffron;10;2500.00;Gift;6;2026-03-15 01:49:05.928225+00;2026-03-15 01:49:35.182465+00
67da725b-d037-4bfc-95cc-70913ea738e4;0048bd4c-79cf-4de6-8600-4fc5aae033f0;Wants;turmeric;10;499.98;ShoppingBag;3;2026-03-15 01:49:05.928225+00;2026-03-15 01:50:36.845719+00
217ace1e-fa2e-42fa-8c34-1a655544f4d1;0048bd4c-79cf-4de6-8600-4fc5aae033f0;Parents;coral;10;1000.00;Heart;5;2026-03-15 01:49:05.928225+00;2026-03-15 01:51:14.835557+00
5bad5d87-9af2-4e60-ab1e-665279a5094a;c0f4e6c9-4835-42dc-8800-793887a675c0;Emergency;maroon;10;0.00;AlertCircle;4;2026-03-15 10:18:33.732381+00;2026-03-15 10:18:33.732381+00
03646093-4976-46bd-8c76-fe2b61f38c66;c0f4e6c9-4835-42dc-8800-793887a675c0;Parents;coral;10;0.00;Heart;5;2026-03-15 10:18:33.732381+00;2026-03-15 10:18:33.732381+00
ef046729-ecf9-45bf-b667-9807830a74e8;c0f4e6c9-4835-42dc-8800-793887a675c0;Donations;saffron;10;0.00;Gift;6;2026-03-15 10:18:33.732381+00;2026-03-15 10:18:33.732381+00
c6006b54-195c-4261-815e-de729ccc5f3d;22009f9f-195f-4ad3-8c74-2bb94cad4649;Needs;royal-blue;40;3106.80;Home;1;2026-03-15 18:43:11.469979+00;2026-03-15 18:43:35.707174+00
5f26ac97-0934-4a12-adc2-eb9279a68714;22009f9f-195f-4ad3-8c74-2bb94cad4649;Invest;emerald;20;1553.40;TrendingUp;2;2026-03-15 18:43:11.469979+00;2026-03-15 18:43:36.2253+00
34086786-96b0-4a21-af9c-afeb34061f10;22009f9f-195f-4ad3-8c74-2bb94cad4649;Wants;turmeric;10;776.70;ShoppingBag;3;2026-03-15 18:43:11.469979+00;2026-03-15 18:43:36.626722+00
aa75b6fd-cdd6-4037-bea7-81eac3b346dc;22009f9f-195f-4ad3-8c74-2bb94cad4649;Emergency;maroon;10;776.70;AlertCircle;4;2026-03-15 18:43:11.469979+00;2026-03-15 18:43:37.055116+00
f2a42011-55b1-4c52-92e6-0cfbdb7f114a;22009f9f-195f-4ad3-8c74-2bb94cad4649;Parents;coral;10;776.70;Heart;5;2026-03-15 18:43:11.469979+00;2026-03-15 18:43:37.447517+00
e569d08f-e7eb-4a35-ab63-c3a9195d5a5b;22009f9f-195f-4ad3-8c74-2bb94cad4649;Donations;saffron;10;776.70;Gift;6;2026-03-15 18:43:11.469979+00;2026-03-15 18:43:37.85279+00
026e5ac3-e7f2-4956-b64a-e26458628913;6f2c3c47-5760-4249-8503-f40a57bacf14;Needs;royal-blue;40;0.00;Home;1;2026-03-16 13:27:40.445407+00;2026-03-16 13:27:40.445407+00
f3df865d-99fd-4eb7-923e-2b3aeaa757e0;6f2c3c47-5760-4249-8503-f40a57bacf14;Invest;emerald;20;0.00;TrendingUp;2;2026-03-16 13:27:40.445407+00;2026-03-16 13:27:40.445407+00
195a5253-98e5-4464-a765-d180c216e064;6f2c3c47-5760-4249-8503-f40a57bacf14;Wants;turmeric;10;0.00;ShoppingBag;3;2026-03-16 13:27:40.445407+00;2026-03-16 13:27:40.445407+00
86dc8964-ce4b-405c-abff-109f2df7db75;6f2c3c47-5760-4249-8503-f40a57bacf14;Emergency;maroon;10;0.00;AlertCircle;4;2026-03-16 13:27:40.445407+00;2026-03-16 13:27:40.445407+00
fd639e4c-c2e2-4958-931a-44dab5fa53c7;6f2c3c47-5760-4249-8503-f40a57bacf14;Parents;coral;10;0.00;Heart;5;2026-03-16 13:27:40.445407+00;2026-03-16 13:27:40.445407+00
7abf7d9e-6b8e-482a-850f-ade57251496f;6f2c3c47-5760-4249-8503-f40a57bacf14;Donations;saffron;10;0.00;Gift;6;2026-03-16 13:27:40.445407+00;2026-03-16 13:27:40.445407+00
70207447-bba3-4e36-8a23-79aea0c9b58d;312b498a-bf14-4917-b2a7-378b16a8f63c;Wants;turmeric;45;255.00;ShoppingBag;3;2025-10-26 17:50:56.852702+00;2026-03-16 14:48:20.426483+00
